clip_id,reasons,bad_file_count
00dbc6a6-512e-4df6-a8f1-89acca7d858d,Too small,1
00dde95c-999f-43e1-a9ea-a6c07ba5abd3,Too small,1
00df970d-f280-46be-ad5c-52588bda12bb,Too small,2
00e0a033-4b91-45dd-b2f9-7ab4f38f8b13,Too small,1
00e0e77d-1a14-4587-bc32-90d61b7f1c91,Too small,1
00e3f716-ac46-471c-9ae4-c3424b5eeace,Too small,1
00e6acce-8641-46de-b4e6-98d809e0fa86,Too small,2
00f3bda1-be3f-4284-8360-b1a9a1df9011,Too small,2
00f607ed-8eee-4670-8a65-e46142cb455b,Too small,1
00f7fbbc-1d27-45f3-9716-1c6aeb4292e2,Too small,2
00f9e9bd-56c1-4ab6-b831-70736ae0f755,Too small,1
00faab4f-27fb-4bf7-82f6-0b58f30a98c0,Too small,1
00fba3de-078e-4194-afd2-e4e8c649614c,Too small,1
00fc8547-2a95-4a78-bb3d-57de248b5f57,Too small,1
00ffa7c2-d980-4ed9-ac01-632db3629ed2,Too small,1
0101ec05-ac5e-4c19-a3bf-5e3963397c88,Too small,2
0104e907-9fbb-423a-8e5c-c882c804d02f,Too small,1
0108f416-1022-4107-980d-d01f37c5c474,Too small,1
0109e452-672e-45b9-b6fc-becb541dffe3,Too small,1
010f0d97-26be-494f-9498-84c4d26960e1,Too small,2
0113660c-b3bb-404a-b6e6-98b7e156a1b0,Too small,1
011a4fca-901c-431f-99c4-8bac8d0a7fa9,Too small,2
011c017a-d297-4f01-8894-94f9c80faa84,Too small,2
011ca032-874e-4f7a-aaf6-3897d9ffa7e4,Too small,1
01205bfb-2276-4292-aa66-9bd781cf3d2b,Too small,2
01219dc6-4684-4ee9-b00b-ddb190ad283e,Too small,1
012408b9-c3d6-4713-ac25-60064b0eb1af,Too small,1
012b9caa-1a97-4042-8d94-fc295d2d44f5,Too small,1
012c0d55-2398-4b31-82f1-85ed5a8488d7,Too small,1
012c515e-513c-43f5-a508-2f8acc59b296,Too small,1
012e3369-b444-4638-a659-29df4dfe8e05,Too small,1
012efc19-13e5-453c-93ce-39de599b6e96,Too small,1
0137131e-2dc6-4c4e-be4b-d80448d0e9e1,Too small,2
0137c636-2749-4d43-ad74-592f603a04cf,Too small,1
013a38a0-0d03-4d33-b39e-d3f24b48eaf6,Too small,1
013aa584-cce9-40fc-9936-b4168cd2d381,Too small,1
013cfb90-741f-4804-bac5-0f7745e925a2,Too small,1
013daf05-216e-4e1a-aecb-112805e277ad,Too small,2
0141ab51-7cca-4f2c-b131-7fbba7da4ffb,Too small,1
014377ed-f281-47e2-90fc-02b25a8d662c,Too small,1
01456ffa-9976-4f27-8768-ddc35eb19d05,Too small,2
0146c627-6bed-4996-b3dc-1f484a71d1a7,Too small,1
014c60e6-7e4d-41f5-b377-0346643bafac,Too small,1
014e2420-4c74-4e96-84dd-9324f40b9b77,Too small,1
014f469c-2ad5-4e6c-a230-54001a9edaac,Too small,1
015379ba-0fa9-4162-88a8-833845924e19,Too small,1
0155b7ff-2e3a-4663-812f-50d7bcccf5de,Too small,1
0157b079-de36-4573-b515-ffd03b086688,Too small,1
015c7d97-2158-4920-8f83-905a24faba84,Too small,1
01615ff2-839f-46ee-bad6-90230e10c049,Too small,2
0162af7f-845d-4ded-8f17-66a493190f95,Too small,1
0164941b-9e71-4719-a0e8-bcb6851d6589,Too small,2
0168d3f1-af6c-4aca-9f18-21f05bd4b0f8,Too small,1
0168d671-c316-4fa3-b11c-4cd1bb2d12a4,Too small,1
01696847-d383-4034-9bf6-cddfffab52d1,Too small,2
016ac332-6da3-4e38-9278-1879dfc24e3e,Too small,1
016fe9c5-3cc6-44ca-9251-1032dd7aaca9,Too small,2
01702889-98c6-4796-a54f-9c813be7a8e9,Too small,1
01737a19-3623-4b38-ad64-3a0ab1067dfa,Too small,1
0174336f-5c13-48f1-ab33-a988b6bfd83c,Too small,2
01789a80-e75d-4a9f-8b10-d2faff9fce4f,Too small,1
017d49d0-e050-4010-abc9-2a9166ed6c43,Too small,1
017e3ee2-5aac-41cd-96a6-91e72a4e33a9,Too small,1
01802ca1-f3b6-4b2a-9360-f90094966749,Too small,1
01813480-02dd-4738-bd10-6d840f1e5fdd,Too small,1
0181bcc9-528d-448e-9567-d235121267cc,Too small,1
0182ab8a-183a-4cec-96f7-29c32a1c84e8,Too small,1
0184da9a-9bb1-4e02-b47a-ec806d3b754f,Too small,2
01852ca4-4074-4cd3-b704-db3ab4b41e11,Too small,1
0189d6c7-4b35-4ae7-9744-00efdbdcf6b1,Too small,1
018a05cf-7845-4b1b-aa07-36b220f2764a,Too small,1
018b49ad-c55b-411c-aa0c-db071c3c551b,Too small,1
0191f943-be82-4239-bf10-8205b2f6cb7c,Too small,1
0192cb35-7191-4d07-ab9a-1fe6634f2fb2,Too small,1
0192dc63-a377-45cf-963b-5ff684d33292,Too small,1
01935e16-7d3d-4840-8414-d432b4e3dc52,Too small,1
019675f7-25bb-4de0-aadb-0deca1205d8c,Too small,2
0196da96-2eb9-4122-aa6d-5a9002dfae13,Too small,1
019d9f5b-53d0-4754-b677-7b46fca5bb22,Too small,2
019e40c1-0adf-4cca-9b95-03b446bd4856,Too small,1
01a04e13-1925-4cfd-828a-361d6a2e7a4d,Too small,2
01a433ae-414c-44d2-8f66-b32dd94bed15,Too small,1
01a4ed3a-a552-4585-aa73-e4efe4e9ed3c,Too small,1
01a757c5-7b6a-4b63-b989-62fad460c90b,Too small,1
01a944be-8105-4407-9c8e-d9e217791cba,Too small,2
01aa3fc7-c9d3-4d01-9cf7-b9d0733b048f,Too small,1
01acc010-b2d4-4e10-a9df-10dd973f2e97,Too small,2
01adb95e-85cc-4e05-8f4d-f17941b87a3a,Too small,2
01adec8c-d829-43ee-ae20-4b81ebd95cf5,Too small,1
01ae2f60-bf84-4e1d-b085-ebb265c453c6,Too small,1
01aff468-6db5-4a35-baf8-ad21b4970e39,Too small,1
01b0af6d-8a91-410d-afc3-2418518e6915,Too small,1
