clip_id,check,reason
6ed64c39-b005-4bd9-9351-45143663fc81,missing_sensor,Only 8 radar sensors (< 10)
6f3ef796-4c75-4c38-80a6-5363c1b1c391,missing_sensor,Only 9 radar sensors (< 10)
72d7a10f-8c57-4b14-bd1e-d30db7a01524,missing_sensor,Only 9 radar sensors (< 10)
743b012a-11aa-46f2-a55f-7fe236ef471f,missing_sensor,No Lidar rows
7457d962-ba71-4754-8a0c-93dbcf685fbd,missing_sensor,No Lidar rows
77351ef4-9ff2-48e5-9a0a-6a86b2e3a194,missing_sensor,No Lidar rows
794f2a84-394a-4304-8897-ca98d9209b1c,missing_sensor,No Lidar rows
7c7eabc6-e462-4672-8913-de3c89535ac5,missing_sensor,No Lidar rows
80902441-3f7e-4390-ab53-ab5fcaa1e23f,missing_sensor,Only 9 radar sensors (< 10)
8152833e-81ae-41a3-b31c-94d6e1696c90,missing_sensor,Only 0 radar sensors (< 10)
82df459e-1d25-43ad-8a4a-f9d3c28714e9,missing_sensor,No Lidar rows
8416dca6-21e2-4355-9e19-422209ee11b3,missing_sensor,Only 0 radar sensors (< 10)
84425a1d-522e-4ba9-8fbf-f698bc6c48f6,missing_sensor,No Lidar rows
856620be-580f-4d2d-b3e6-0a5f01cd572d,missing_sensor,Only 8 radar sensors (< 10)
86c04837-6f92-4ff4-94f6-442bdcff976d,missing_sensor,No Lidar rows
898abc3d-9f50-4d37-a97c-37541389207b,missing_sensor,Only 0 radar sensors (< 10)
89b509a5-aa18-42ea-b3c3-42d20816a819,missing_sensor,No Lidar rows
8acb4bfd-f55b-4619-94d4-3e6ca8198baf,missing_sensor,Only 0 radar sensors (< 10)
8ad0b5c3-aebf-453b-a778-54d196f5c6bb,missing_sensor,No Lidar rows
8b1e8df5-0d85-499b-9d11-1b96e138c56b,missing_sensor,Only 0 radar sensors (< 10)
8b460f55-bb00-4e95-b012-2f0218673d39,missing_sensor,Only 8 radar sensors (< 10)
8b8db807-ec09-42e6-aac8-40c685bf112d,missing_sensor,No Lidar rows
8bbe2008-f4d0-409b-a643-3151a74197a2,missing_sensor,Only 0 radar sensors (< 10)
8d76421d-728d-4e09-82a6-9fde0b952565,missing_sensor,Only 0 radar sensors (< 10)
8e9d0549-795a-4ad7-ab99-861f6e608612,missing_sensor,No Lidar rows
8f252344-82c2-4443-9965-5dcb5d18dfaa,missing_sensor,Only 0 radar sensors (< 10)
8f37f03f-de6a-4eca-9752-bffe6e395f20,missing_sensor,No Lidar rows
900afb2c-d3d3-4909-8372-ac553a2f7173,missing_sensor,Only 8 radar sensors (< 10)
9069ff81-7ec3-4266-925c-2eb1e3d3e1bd,missing_sensor,No Lidar rows
91ab3547-b6d9-4fd7-acae-100152027050,missing_sensor,No Lidar rows
94c26b57-aacb-4a9a-8909-fb4e72deeb0d,missing_sensor,No Lidar rows
9824d8f8-7249-4e11-87e0-3413089d6609,missing_sensor,No Lidar rows
9973563c-21e4-4a44-9d51-d6251afaea3f,missing_sensor,Only 9 radar sensors (< 10)
99b3c8cd-8c84-4acb-ac92-29d83799edd6,missing_sensor,Only 9 radar sensors (< 10)
9a9407c3-16b4-4e7d-ac9a-668a94538da9,missing_sensor,No Lidar rows
9ad871a1-d64c-415e-9e8f-b765f066940e,missing_sensor,Only 8 radar sensors (< 10)
9c0ad946-2ae1-43d9-b265-c24fd067cbe6,missing_sensor,No Lidar rows
9d9a3f12-2562-4fdd-8ba2-808168fc9c52,missing_sensor,Only 9 radar sensors (< 10)
9e1cee20-a539-45b9-945e-627079a0de44,missing_sensor,No Lidar rows
9ee4b72d-6bf4-4617-b07b-8bd477617b23,missing_sensor,Only 0 radar sensors (< 10)
9f0cbbb5-1b85-4af8-b836-b47520baa818,missing_sensor,Only 8 radar sensors (< 10)
a00fdaf2-3e5d-463f-95d3-9348b8bc0bdb,missing_sensor,No Lidar rows
a0b98095-4d2c-4bef-840f-ddf3e201b149,missing_sensor,Only 0 radar sensors (< 10)
a19e6b58-b0fa-4abc-a0c7-83520da92232,missing_sensor,Only 8 radar sensors (< 10)
a3c23e28-e49a-42c2-9a1e-372d90059cad,missing_sensor,No Lidar rows
a46c99f2-7e8c-41fa-bb78-ceea8435b325,missing_sensor,Only 0 radar sensors (< 10)
a48259ba-09ec-41b0-adeb-706cc92e683d,missing_sensor,Only 9 radar sensors (< 10)
a4ef5f3b-f1d7-4455-b717-a045b53adfc3,missing_sensor,Only 0 radar sensors (< 10)
a59d0cca-7c34-4265-8bfd-c79d445d6759,missing_sensor,No Lidar rows
a5fc1133-5e0b-4161-97ee-0bd5e3e64d22,missing_sensor,Only 0 radar sensors (< 10)
a903aeb5-7c64-4471-869f-60f66693ea75,missing_sensor,No Lidar rows
aa7c41d6-0446-486f-9990-f1529bf16be9,missing_sensor,No Lidar rows
aae878ba-9df1-4e63-bf87-2cb2f0e48185,missing_sensor,No Lidar rows
ae4810a3-53cc-4a8e-9c27-3e3be05f0334,missing_sensor,No Lidar rows
ae74fb3c-5c1f-4d99-b7c9-7247d45f28cd,missing_sensor,Only 0 radar sensors (< 10)
b484fdc9-0e81-45a0-b7b4-ec81f17d0740,missing_sensor,No Lidar rows
b5eb9f0c-7d13-4a0b-b3b6-28ea7cdc2fda,missing_sensor,Only 0 radar sensors (< 10)
b638ba8b-e47c-4a87-90e0-183ac9fb7ceb,missing_sensor,Only 0 radar sensors (< 10)
bc05e6cf-a629-4098-ba97-855ea2eb4d62,missing_sensor,Only 0 radar sensors (< 10)
bd1f9235-8dbd-4b67-bd90-b07c6a4d52c9,missing_sensor,Only 9 radar sensors (< 10)
bdef8ab0-6a78-4340-aad3-c7846b1c835b,missing_sensor,Only 0 radar sensors (< 10)
bf44ddaa-0765-4473-95c8-54cef6794645,missing_sensor,Only 0 radar sensors (< 10)
bfb78f31-1dad-4cf9-9860-9f83d4ed6d64,missing_sensor,Only 9 radar sensors (< 10)
c0497d13-4356-43d5-bfcc-35668acb6b34,missing_sensor,Only 8 radar sensors (< 10)
c2666059-5858-4cc7-8a67-904d9d53976e,missing_sensor,Only 9 radar sensors (< 10)
c5d527eb-de67-49f1-ba73-3bec798c707a,missing_sensor,No Lidar rows
c64f3cac-69a1-4544-aade-79520839d01a,missing_sensor,No Lidar rows
c9125995-5912-41df-a2a9-a79ef066ce50,missing_sensor,Only 9 radar sensors (< 10)
cc69ea2e-1dc7-48cb-8a7b-f872dcf66abf,missing_sensor,No Lidar rows
cd4d80f7-e7ca-4269-b423-abd75a52494f,missing_sensor,Only 0 radar sensors (< 10)
cd8535bc-fee3-4796-b8a5-d32c97b9d1ea,missing_sensor,No Lidar rows
cea4d689-c59d-4954-99c8-056a545c904c,missing_sensor,Only 0 radar sensors (< 10)
cf8038c7-1f2d-406a-86de-384e76bf12ef,missing_sensor,No Lidar rows
d09391da-50c5-4aa1-aa16-08ed9db3f395,missing_sensor,No Lidar rows
d0f262ea-ae70-4903-8432-3009ec2d1908,missing_sensor,No Lidar rows
d22a068a-2f1d-4e6b-9281-4632ec83c10e,missing_sensor,Only 8 radar sensors (< 10)
d3ee04a6-39ca-48e9-9c55-4f2ee7f310ad,missing_sensor,No Lidar rows
d4d040e5-2165-422a-bcef-4a0af1ba511b,missing_sensor,Only 8 radar sensors (< 10)
d560092f-c1c2-410c-9cdc-7f3198ed0392,missing_sensor,No Lidar rows
d7a9cec9-48ee-4220-9066-12430271e610,missing_sensor,No Lidar rows
d9c47fb3-10be-4531-91ea-3db012cad148,missing_sensor,No Lidar rows
daf7c6b3-0961-4b2e-a688-b2f49edd55bc,missing_sensor,No Lidar rows
ddf76411-1eb5-4990-89d8-613447608845,missing_sensor,Only 0 radar sensors (< 10)
de1a061f-6565-449f-ab07-769db8dce5e4,missing_sensor,No Lidar rows
de539070-0329-40fa-8c5a-3991250e2b41,missing_sensor,Only 8 radar sensors (< 10)
df94ff81-87c6-46ae-8e10-2d3cf4a0fe27,missing_sensor,Only 8 radar sensors (< 10)
e0978de7-f400-4fa8-a932-ecf948ab51c3,missing_sensor,Only 8 radar sensors (< 10)
e0e6e7cd-2d91-4931-a9b3-37ed9fb4c97d,missing_sensor,Only 0 radar sensors (< 10)
e159ca48-7ba2-4ac5-8a2e-8ff0673779de,missing_sensor,Only 9 radar sensors (< 10)
e1d7c6d8-f04e-45e3-960a-4bce64ec8f56,missing_sensor,Only 0 radar sensors (< 10)
e51a9b75-b511-417c-9841-544919dc63fe,missing_sensor,Only 8 radar sensors (< 10)
e795bad9-30c6-4c25-bb32-1199ff45ca4a,missing_sensor,Only 8 radar sensors (< 10)
e7e88a07-b1e0-48d0-bb3d-735e5088c804,missing_sensor,Only 9 radar sensors (< 10)
e88d8510-708b-4b79-a876-3f0d72959a0e,missing_sensor,Only 0 radar sensors (< 10)
e8a54ce0-0245-4f7e-8f66-f3a2aeb53629,missing_sensor,No Lidar rows
f0159e0f-74cb-4fe0-9618-f7dd10ca3de9,missing_sensor,Only 0 radar sensors (< 10)
f1559b90-8122-4f0b-bdae-8a2fbf6dc80f,missing_sensor,No Lidar rows
f160d162-7f67-4cfe-adba-367ed3daff3f,missing_sensor,No Lidar rows
f20280f5-39e1-4418-8aa4-fe0f62fc3db2,missing_sensor,No Lidar rows
f2f47eec-1c82-4714-a4e0-a6c95044bca2,missing_sensor,Only 8 radar sensors (< 10)
f3161361-329a-4307-8d00-c2af714f4b91,missing_sensor,No Lidar rows
f46e917a-1123-432b-ad37-137aba5f0c45,missing_sensor,No Lidar rows
f50d1d86-1c1f-46ae-b968-9740a0488004,missing_sensor,No Lidar rows
f54dc4c3-d4a8-4271-8968-25897ec5f29b,missing_sensor,No Lidar rows
f6f0c474-5ec2-4fea-8c1d-424788161690,missing_sensor,Only 8 radar sensors (< 10)
f761919f-f964-4a8d-8e00-d1fd8110a5b0,missing_sensor,No Lidar rows
f81936d2-c6b6-4aef-a791-a6b420ac6c6d,missing_sensor,No Lidar rows
f903e0d1-9b00-4400-99bd-e9bdcb7bf4cb,missing_sensor,No Lidar rows
f985e2ca-59ed-4616-b3ca-47b1a79cde92,missing_sensor,No Lidar rows
fa0ea954-784c-4d35-adc7-9c78f2c2fa26,missing_sensor,No Lidar rows
fb443cf7-4acd-41b8-ba04-4ade9ec7d6cd,missing_sensor,No Lidar rows
fc4be7f8-6ae0-4de9-9ef7-f7c85be210bb,missing_sensor,Only 9 radar sensors (< 10)
